store_ID,day_of_week,nb_customers_on_day,promotion,sales
1001,6,471,0,4309.056336459832
657,4,598,0,4439.4407564935045
590,4,319,0,3778.632083694086
168,6,465,0,4374.711796176046
16,1,839,0,6393.730127946131
244,1,738,1,8306.436452861955
1032,6,492,0,4585.459917989419
290,5,987,1,9572.691886243389
548,4,335,1,4186.269385642137
654,4,716,1,6964.266055675803
272,6,377,0,3601.102528619527
1017,3,1176,1,8598.910212195216
708,2,462,1,4733.312711640214
819,4,454,1,5428.311863155363
99,3,372,0,3750.504611111111
982,2,710,0,6869.805955026456
194,3,373,0,4047.367508297259
853,2,1201,1,11383.547066378072
53,1,650,1,6920.374469576719
281,4,508,1,5556.244100889853
101,2,879,1,8842.339304713803
440,5,769,1,7754.420933261183
994,2,435,1,4705.063521645022
168,2,930,1,9858.222620370378
652,6,501,0,4482.263978354976
934,6,474,0,4337.001068422316
223,6,589,0,5478.406141534393
865,3,624,1,8001.230548220296
466,5,861,0,6732.703335285084
789,5,546,0,4116.727056092057
765,4,1068,1,11219.02661604137
673,1,500,0,5460.972755096757
258,3,444,0,4756.1783649776135
740,3,499,1,7041.352702260703
1080,1,764,0,8429.228496873498
918,5,661,1,6564.877648989903
857,6,1004,0,8365.266443121687
837,1,482,1,3468.612535816035
446,2,505,0,3824.9075307840303
207,3,1584,1,14110.43352116402
961,4,668,1,6592.895431096681
772,2,507,1,3762.411043650792
1089,2,1050,1,10984.414805555552
521,3,421,1,5649.726997715247
823,5,600,0,5707.5508156565675
436,6,426,0,3668.976998557
215,2,333,0,3849.493249037997
109,5,802,0,7026.874503367001
858,1,590,1,6421.76092881193
425,4,501,1,3811.01193987494
357,5,905,0,6971.2181612554095
255,1,575,1,7212.667010582012
798,6,343,0,2877.2099272486785
366,6,304,0,2875.2779576719554
534,2,510,0,5319.210633597885
179,5,1176,1,9939.85507897657
258,2,464,0,4944.139293530543
693,5,384,0,4384.200745430498
999,4,685,1,9445.841662698418
834,6,492,0,4747.516944444445
512,4,1410,0,5847.493827681573
818,2,662,1,6514.305553872059
534,6,606,0,7347.829837301588
1084,2,1099,1,10089.8170952381
34,2,861,0,6424.720248436748
101,4,686,0,5960.769116522365
187,1,885,1,8229.18193362194
20,1,1041,1,9995.659601010098
434,1,823,1,11580.559384920629
738,1,864,1,12103.548545695046
351,5,569,1,6483.709882275132
1020,4,905,0,6588.782503126505
266,3,573,1,4940.307401246901
608,5,1024,1,10159.480892496387
708,5,493,1,4501.142017195768
734,3,605,1,6625.546610750361
1060,2,853,1,8056.860848364598
182,2,507,1,7162.619567460317
542,3,431,0,4984.463750000003
602,1,610,0,5659.115526455026
101,4,777,1,7678.600070105819
535,4,793,0,6438.068708032706
844,4,516,1,4936.555343314093
25,6,1831,0,13219.98600793651
539,4,966,0,8878.364176887926
77,3,642,1,7304.7607938912915
641,2,493,0,4365.167986568989
445,6,1201,0,7833.906817460319
318,5,822,1,9271.59205916306
394,3,539,0,5991.509194444441
761,5,1014,1,8824.656431697935
706,2,578,1,6439.290891534393
41,5,433,0,5772.449380230881
894,1,958,0,7427.24526028601
169,6,801,0,7532.714144179896
310,4,868,1,10891.985135161136
1003,3,847,1,8286.645837301587
970,3,429,1,3630.106086940836
239,5,627,1,7034.603263227513
998,1,647,1,6478.259164021162
278,5,692,0,7035.776197089948
49,2,539,0,6885.670932539679
658,2,824,1,7868.230644901395
1072,3,786,1,8655.541655844154
1028,2,587,1,6433.454579966333
288,4,489,1,6710.91612181337
111,1,838,1,7755.011304593553
581,2,703,1,7392.532722342467
589,1,577,1,7339.357267195769
295,2,619,0,4210.896816257815
388,1,1586,1,15016.161090909089
9,6,621,0,6636.143498316499
445,4,1381,1,10189.416721500716
204,4,445,0,4419.828477513228
296,1,1011,1,10814.27879329004
481,1,523,1,6258.15914225589
1100,6,569,0,4577.165001322752
588,6,614,0,7039.745660052911
290,2,918,1,10323.589737012986
1107,4,635,0,5517.046172318422
1019,6,820,0,8963.90036111111
945,5,545,0,4375.417120453622
433,3,898,1,9518.987722222222
190,2,738,1,8308.191947089945
843,3,962,1,8770.288104978354
937,3,689,1,9118.390657888403
302,3,337,1,4161.554667508418
1034,6,290,0,2657.2266904761905
734,6,289,0,2922.919755291005
892,4,861,1,8647.569104497356
96,4,532,0,4682.786782227031
578,2,762,0,7290.591283882782
593,3,1035,0,7333.075189033189
958,2,595,1,5063.6473835978795
944,5,1135,1,7260.636405723907
524,5,913,0,8820.787486291483
311,1,1049,0,8865.84550396825
501,3,615,1,5823.129275252522
1039,3,1233,1,11306.52401310726
511,1,863,1,6639.854735329481
58,4,594,1,7196.396825396825
963,5,717,0,5895.652617724868
860,4,638,1,4709.91907936508
114,1,515,0,4064.062333814333
20,3,753,0,6705.685486171237
33,4,743,1,7513.680887566137
255,2,621,1,6408.951037638285
963,6,354,0,3597.5852605820105
849,6,861,0,7572.643976551223
85,6,687,0,5223.088767195768
841,5,425,0,2857.6481441798937
234,3,787,0,7240.267035353536
547,6,688,0,6907.182841750841
705,6,686,0,6126.750920995671
244,5,534,0,4832.937720899471
513,3,1681,0,13873.176141774891
894,6,753,0,5698.345857142856
974,2,1806,1,14112.915187830686
989,5,637,1,5685.352661495915
425,1,590,1,5080.300211640209
875,6,352,0,3351.6367273929773
813,1,845,1,8881.528370009622
374,1,1097,1,11655.75513131314
883,3,417,0,3775.018179413178
348,4,665,0,7150.007567340069
529,5,777,1,8135.631359529357
758,6,415,0,3486.6561590909087
698,6,1706,0,12953.255069985576
1115,2,411,1,6362.35528258778
216,2,676,0,5083.084441798941
736,1,641,1,7975.125806036556
229,5,653,0,7259.099615578864
1078,6,438,0,5421.164313492063
715,4,688,1,6476.7377554112545
748,2,344,0,3680.951557239058
626,5,922,1,10203.25973160173
364,2,660,0,4905.670480158732
791,6,831,0,8407.532590067343
8,6,307,0,2490.2560998075987
33,1,932,1,9510.36695777371
54,1,560,0,5383.617288156289
59,2,691,1,7530.54595502645
681,1,431,0,3073.5167866855363
267,5,1510,0,12567.53349867724
39,1,1046,1,10664.846253033997
557,2,721,1,5240.077730639729
1058,4,678,1,6995.593851851853
99,1,431,0,4384.225248677247
641,4,560,0,5277.479169413921
537,5,646,0,5858.194425925924
198,5,493,1,5472.192777777778
994,6,257,0,2319.9918724146214
1034,5,796,0,6091.679678506681
1068,4,293,1,4273.31717809043
264,3,837,0,6023.764759860512
427,2,829,1,8532.76901159951
663,1,803,1,7556.653312474562
452,2,438,0,4340.190890211639
78,4,502,1,3880.9605424482934
487,5,640,0,5836.016271524771
960,3,614,1,7828.092976190475
209,4,582,0,5256.558855098606
506,5,794,0,6303.080843073593
789,4,522,1,3693.233188311687
257,2,916,0,6539.496630952379
367,1,520,0,4352.946789923037
264,2,813,1,7001.077654761906
464,3,1234,1,10086.440238095236
459,5,1228,1,9785.372355820107
841,3,411,0,2671.2731365393875
675,4,675,1,6415.837204064456
150,2,824,1,8874.547762385762
808,5,585,0,6659.109514550266
4,2,1092,0,7463.069629749881
241,1,620,0,5328.268369047621
17,5,823,0,6302.599307118805
844,1,582,1,6427.43663588264
1112,5,700,0,7857.528464285718
639,2,418,0,3575.9649147426653
968,1,1339,1,12620.062935185188
329,6,429,0,4398.54929232804
365,2,571,1,5907.699062530061
682,2,2045,1,14577.078363395858
1084,5,810,1,6378.230350529099
1107,4,590,0,4918.258195646946
450,5,1138,1,9772.099242303995
808,3,589,1,7344.130112433861
226,5,1038,1,11407.60607683983
224,6,432,0,5200.655270562768
364,2,592,0,4484.673000721502
483,1,787,1,7281.15866919192
346,5,857,1,9562.628005531506
1010,3,618,0,5957.882142255896
927,5,774,1,6511.593918109668
476,3,670,1,6232.01630820106
190,5,684,1,7404.865471019722
1065,6,320,0,2548.056881794133
113,6,789,0,7564.662151274653
184,6,486,0,5426.206637566139
885,4,862,1,6889.476087301589
331,6,597,0,4426.905576358826
805,5,557,1,6400.486583333332
379,4,432,0,3184.215976190475
780,6,263,0,2380.421466329967
712,5,501,0,5295.046955988458
1112,2,777,1,8854.264493265995
645,1,1573,1,14855.421726551232
271,5,788,0,6833.526492063497
664,3,537,0,4307.209339336588
680,1,823,0,5889.995123015874
534,4,503,1,6326.689341510341
3,5,965,0,7764.166532227029
877,1,1155,0,9540.522287851038
674,4,898,0,6623.847246031742
396,4,1204,0,10372.76083339808
931,6,251,0,2172.6231719576717
578,3,909,1,9717.121393819143
409,5,467,0,4592.0992116402085
206,6,498,0,4451.403219336221
108,6,1180,0,10502.938193121692
922,5,750,1,7847.938648148148
1080,3,920,1,11891.953820105828
1014,3,1417,1,13062.02232227032
554,6,345,0,3058.189152356903
971,5,882,0,6777.131967772965
736,3,550,1,5866.219896344398
1113,3,617,0,5109.452292929293
345,6,313,0,2682.0313621933615
358,1,974,0,7847.444903439155
27,6,909,0,7764.135677248677
210,3,266,0,2371.031849927852
1087,6,530,0,5040.398925565177
344,1,1258,0,9356.268177248676
116,1,764,0,6853.890339947092
139,2,402,0,4671.315254810006
837,3,274,1,3696.2886207311217
151,6,642,0,6327.432876984129
325,5,727,1,6862.288107142856
255,5,595,1,6011.402976310728
916,6,581,0,6203.369600889851
784,4,797,1,7625.395274050022
632,5,807,0,6383.221076719577
391,1,950,1,9207.46913997114
398,2,615,1,5995.598052308804
929,1,904,1,7882.103756613753
294,1,946,0,7707.380697570941
319,1,783,0,6855.110834674583
75,6,621,0,5644.53371909572
178,5,943,0,8983.054391293897
779,4,807,1,8106.726974506976
737,2,1077,1,7716.630646288896
305,5,502,1,5280.393129629629
454,6,257,0,2177.706873617122
218,5,693,1,5297.550783549784
820,3,1138,1,12403.267081649838
898,1,1057,1,11271.743570105824
829,4,808,1,6704.410965367968
451,6,482,0,5475.860970177971
78,2,519,1,4698.663078763827
781,2,670,0,4376.975326719574
255,3,698,1,7022.311965090466
132,3,603,1,6257.86227140452
704,2,1343,1,13263.9126466034
956,4,512,0,4864.552698412701
1105,1,425,0,3514.171973785471
395,5,583,1,4473.430217051466
224,2,342,0,4230.192939782439
291,6,456,0,4150.327575757577
86,3,673,1,5964.02161784512
963,4,1106,0,9550.72737854738
246,2,1058,1,8861.913503968253
846,4,786,1,8244.335392857154
476,3,560,0,4368.498750240499
773,1,921,1,7421.733634680137
1108,2,1101,1,14261.73724462575
147,1,1199,1,12206.38341050616
929,1,1015,0,6455.344666666669
619,5,483,1,5033.78624074074
131,5,614,1,5978.788421596918
502,6,1380,0,9696.02011748437
1006,1,766,0,5069.264291847038
120,2,558,0,5541.448040043289
874,2,477,0,3965.0935264550258
190,1,695,0,6913.5341260221285
1059,4,1106,1,8500.866961640211
509,6,367,0,4021.019344636845
1057,3,592,1,6223.135696581197
990,3,528,1,6184.145680504685
130,1,677,1,6165.878651515148
571,6,782,0,10580.136615440117
675,2,521,1,5769.789067460314
424,6,811,0,6883.203067432563
722,6,1081,0,8786.12502777778
891,4,936,0,6176.594923585675
244,3,566,1,5759.309306277056
532,1,1311,0,10444.12190271766
762,1,431,1,4739.984453703705
523,2,1627,1,14182.888421717167
947,5,1197,1,9308.92353846154
584,2,325,0,3252.163019721019
456,4,1239,1,10059.093505170753
186,6,399,0,4066.1302765752794
798,4,984,1,8062.705169191924
276,3,431,0,3215.820181697932
856,3,1001,0,7174.720484607987
538,2,542,0,3398.221091510341
1093,5,921,1,8640.808116402115
1073,1,868,1,8792.535232563729
641,4,439,0,4044.32098136123
835,3,693,1,5493.730354497355
979,5,642,1,6479.036272486773
295,1,786,1,7735.625938311682
1103,2,459,1,6397.523281385284
155,4,571,1,6219.93236243386
744,3,820,1,7714.613054232806
93,4,634,1,6682.208677368928
753,3,756,1,8852.207403799905
980,1,801,1,11198.055236772489
1081,2,786,1,8124.27126190476
581,2,521,0,4082.565391534391
1095,5,676,1,4965.021252645504
844,3,664,1,5891.319178571427
343,1,572,0,5090.041533068785
714,2,364,1,5271.398316257814
397,1,1027,1,10502.746648148152
967,2,1075,1,10492.392932539686
188,5,370,0,3739.691392857142
302,1,276,0,3027.3246974506974
281,6,683,0,6667.0242116402105
684,6,731,0,7584.4258306878355
690,1,1007,1,7866.430423160169
357,4,946,1,7479.410522486771
1071,3,748,1,6402.735894300147
730,5,1429,1,13687.369409932664
172,2,881,1,7912.820192067194
310,2,780,1,9255.973114117363
913,6,1103,0,7803.303439153447
1000,2,893,1,10548.078568783068
16,1,1070,1,11242.977651394902
1026,1,1630,1,14867.099906565658
897,2,281,0,2719.8607283549777
515,5,887,1,10741.86718253968
600,1,726,1,9660.048348484848
413,5,936,0,7315.375482443485
233,5,1064,1,9673.278084656087
594,2,489,1,4859.370999185997
239,2,603,1,5350.22667953343
390,6,886,0,8371.533360149106
100,3,853,1,9221.45970454546
360,5,886,1,8354.865963083215
1084,4,827,0,6086.157552068303
525,4,1058,1,12587.653099974095
1042,2,586,1,5245.512082491583
734,5,850,1,9274.727429894176
686,5,695,0,5174.603735569984
474,5,810,1,8525.17053968254
1089,4,1343,1,14113.049505531502
448,6,490,0,5791.064208994707
349,6,807,0,8729.953328523328
358,6,1247,0,11041.33103979354
820,5,1186,1,13003.585588143347
560,5,1511,0,12013.81221693122
1062,5,514,0,4998.850071428573
849,1,1038,1,10467.811498677249
1095,5,887,1,7025.5793356180875
694,3,621,0,5722.7751320346315
205,3,823,1,6862.96620911496
804,5,416,0,4362.845379629628
856,3,952,1,7402.600182539687
252,3,709,0,8680.985861111109
457,3,410,1,4690.416129629628
665,6,753,0,6795.511344396344
422,3,494,1,4987.490678571428
57,1,844,0,7947.275984487732
125,2,1818,1,14229.478993626746
947,4,997,1,7474.184781746034
156,3,702,1,7486.460227873979
234,3,1147,1,13531.478134439623
123,1,1314,1,12882.577236772488
640,5,950,1,13045.792483285242
110,1,581,0,4563.69487049062
808,2,606,0,6572.97864814815
914,1,1406,1,12987.615509259263
393,3,474,0,4670.597681938432
441,4,533,0,4615.3325708273205
798,5,984,1,8041.366451899954
798,6,343,0,2877.2099272486785
637,2,648,1,7170.9864563492065
621,2,745,0,5340.324946368448
44,1,835,1,8407.436032467533
1008,1,888,1,7740.237735449737
868,2,614,1,9296.143072991825
695,1,432,0,3862.2700275372754
107,4,796,0,5808.909998677248
554,6,440,0,3986.858293040293
448,5,661,0,5583.546002765752
886,4,650,1,7127.200393597145
955,1,500,1,5570.296407407408
480,4,553,0,3945.947949735448
498,1,888,0,6740.090251322747
989,6,401,0,3702.0603769841255
170,4,459,1,4633.392511423759
506,3,1082,1,10824.604288359791
512,7,1385,0,7534.776165343911
901,4,707,0,7487.963270322269
624,6,510,0,4723.127415343916
136,1,539,1,7593.911696682948
854,6,914,0,8142.165423039921
1085,2,704,0,6330.982664936914
1068,4,434,1,5493.587613756615
770,4,819,1,7174.133245189997
884,5,733,1,7446.975265873012
95,5,1005,1,9596.204789201538
480,3,619,0,4617.808445406449
448,3,653,0,6981.866082010582
750,2,283,0,3149.538191798943
444,4,1350,1,11912.468602092342
653,5,594,1,6715.655301587299
284,1,376,0,3810.5781040163542
439,4,914,1,7415.322909932658
800,3,567,1,6512.724243867246
799,4,805,0,8526.226594516593
280,3,446,0,5285.292571308321
617,5,578,1,6891.363758778263
634,2,717,0,6512.4167010582005
746,6,427,0,4715.879364478116
233,3,972,0,8028.937045214046
1,4,722,1,6899.994427248677
189,4,801,0,7876.198324915824
465,1,648,1,6996.346565776818
74,2,1025,1,7869.872161014912
1072,1,675,0,6487.501088624339
928,2,503,0,5430.287622534874
59,1,788,1,8644.176157046657
545,5,1225,1,13238.367880952384
697,3,948,1,10000.83237037037
135,3,500,1,5645.57274074074
57,4,948,0,9155.1003471621
695,1,445,0,4185.7170430495435
236,2,1050,1,9256.980808802304
1049,5,731,1,4846.619231601732
291,6,560,0,5404.864443121694
569,3,714,1,5307.746500841752
288,3,333,0,3776.7867598605103
183,5,706,1,6018.517511303513
947,1,1241,1,9636.662920514673
803,5,556,1,6945.7409537037065
534,3,472,1,4752.121102157099
1067,3,469,1,5848.162362794614
32,6,289,0,2361.406769841268
985,1,720,0,7075.57196416546
306,6,331,0,3149.8382420634935
542,5,567,1,6848.7038908128925
518,2,408,0,4330.966477513225
346,3,686,1,8269.401023273023
298,6,1001,0,8556.175291366042
119,4,576,0,5344.060010582011
445,4,1242,0,7948.026719918973
507,6,813,0,7876.36739814815
233,5,1025,1,9846.504494709
350,5,500,0,6134.864847643099
256,6,1428,0,10699.66143783069
852,6,433,0,3773.939867965368
827,4,1021,1,9788.435856301105
522,4,727,1,9571.765974266476
430,3,555,0,6397.647038119289
634,3,704,1,7346.342771164023
750,3,281,0,3007.1175727513237
171,2,973,1,9991.142351407849
913,2,1593,1,13977.301545334298
685,4,504,0,4705.366896825396
236,4,733,0,5848.990270923522
905,2,2005,1,14867.951612073111
100,1,622,0,6494.32130820106
319,1,1033,1,10372.889249999993
290,3,636,0,5978.9692936507945
642,6,437,0,3280.2234510582007
240,6,387,0,3841.604917989418
731,3,829,0,7084.631438071192
557,1,534,0,3176.0099748677235
62,6,374,0,3452.868522486772
940,1,1229,1,13145.715285594031
736,3,390,0,3488.0088862433845
972,5,533,1,4999.940428571428
501,6,641,0,6707.5324484126995
73,3,496,0,4138.12537097162
806,3,423,0,5152.216361111112
521,5,452,0,5174.924661375663
603,5,884,0,7258.818774410772
85,4,876,1,6366.487097883601
262,1,3142,1,13967.850157527657
68,2,1148,0,7667.899973905723
13,2,267,0,2941.7251572871564
934,5,811,0,6801.389012589259
290,2,708,0,6910.936103174604
1063,6,457,0,3517.0852843915345
210,1,273,0,2360.611774050024
346,6,424,0,4437.304510582008
168,4,754,1,7769.137008898511
950,1,736,1,8942.745687830684
538,3,523,1,3978.365396825396
715,2,802,1,7946.153887205383
672,3,1381,1,9252.988155122655
609,6,266,0,2607.3421373256365
877,1,953,1,8606.545333333335
781,2,827,0,5659.83842989418
563,4,759,1,6038.354019480522
725,3,534,1,5428.370984006736
1036,4,490,1,5365.937936406189
900,1,488,0,4960.051595238093
818,3,564,0,4615.947846560847
1047,6,319,0,2970.9403082010576
801,1,558,1,6139.03520913346
780,6,305,0,2448.4305468975476
25,5,1148,0,8698.832034391537
483,3,696,1,5848.722657527657
180,1,1029,1,9595.094566979316
33,4,801,1,8140.428942279943
437,1,802,1,9169.90440343915
287,2,651,0,5941.736515873016
943,3,509,0,5494.857340187589
418,3,571,1,5861.164686988935
887,4,531,0,5658.05857005032
234,1,894,0,8320.622837301586
972,1,348,0,2642.021746993746
828,1,511,0,3900.475033189032
